R_ID,Zone_name,Zone,Technology,Cluster,Num_units,Cap_size,Existing_Cap_MW,Existing_Cap_MWh,Fixed_OM_cost_per_MWyr,Var_OM_cost_per_MWh,Fuel,Heat_rate_MMBTU_per_MWh,Marginal_cost,heat_rate_mmbtu_mwh_iqr,heat_rate_mmbtu_mwh_std,Min_power,Ramp_Up_percentage,Ramp_Dn_percentage,Commit,Start_fuel_MMBTU_per_MW,Start_cost_per_MW,Up_time,Down_time,Charge_efficiency,Discharge_efficiency,THERM,VRE,MUSTRUN,STOR,HYDRO,RPS,CES
26,ID,5,Biomass,1,15,0.749,11.235,0,116511,3.535,None,8.221,3.535,4.077,2.986,0.472,1,1,1,0,0,0,0,1,1,1,0,1,0,0,1,1
13,CO,12,Biomass,1,10,1.408,15.682,0,116511,4.975,None,11.737,4.975,2.958,2.533,0.255,1,1,1,0,0,0,0,1,1,1,0,1,0,0,1,1
108,SoCal,2,Biomass,1,47,2.724,137.081,0,116511,5.323,None,12.378,5.323,1.992,2.099,0.435,1,1,1,0,0,0,0,1,1,1,0,1,0,0,1,1
40,NM,9,Biomass,1,4,1.488,5.952,0,116511,6.048,None,14.063,6.048,2.974,1.717,0.296,1,1,1,0,0,0,0,1,1,1,0,1,0,0,1,1
97,SD_IID,3,Biomass,1,21,1.371,178.173,0,116511,6.32,None,14.695,6.32,1.471,4.116,0.668,1,1,1,0,0,0,0,1,1,1,0,1,0,0,1,1
1,AZ,8,Biomass,1,5,1.954,16.294,0,116511,6.809,None,15.832,6.809,1.579,2.035,0.262,1,1,1,0,0,0,0,1,1,1,0,1,0,0,1,1
66,NorCal,1,Biomass,1,105,2.179,228.795,0,116511,7.529,None,17.511,7.529,3.493,5.24,0.334,1,1,1,0,0,0,0,1,1,1,0,1,0,0,1,1
2,AZ,8,Conventional Hydroelectric,1,28,98.661,2762.508,11050,46475,0,None,9.118,0,0,0,0.004,0.083,0.083,0,0,0,0,0,1,1,0,0,0,0,1,0,1
14,CO,12,Conventional Hydroelectric,1,11,42.764,470.404,1882,46475,0,None,9.118,0,0,0,0,0.083,0.083,0,0,0,0,0,1,1,0,0,0,0,1,0,1
27,ID,5,Conventional Hydroelectric,1,36,39.197,1411.092,5644,46475,0,None,9.118,0,0,0.015,0,0.083,0.083,0,0,0,0,0,1,1,0,0,0,0,1,0,1
35,MT,6,Conventional Hydroelectric,1,46,54.296,2497.616,9990,46475,0,None,9.118,0,0,0,0.288,0.083,0.083,0,0,0,0,0,1,1,0,0,0,0,1,0,1
54,NV,7,Conventional Hydroelectric,1,9,115.489,1039.401,4158,46475,0,None,9.118,0,0,0,0,0.083,0.083,0,0,0,0,0,1,1,0,0,0,0,1,0,1
67,NorCal,1,Conventional Hydroelectric,1,117,62.171,7274.007,14548,46475,0,None,9.118,0,0,0.009,0.06,0.083,0.083,0,0,0,0,0,1,1,0,0,0,0,1,0,1
84,PNW,4,Conventional Hydroelectric,1,339,85.702,29052.978,116212,46475,0,None,9.118,0,0,0.007,0.294,0.083,0.083,0,0,0,0,0,1,1,0,0,0,0,1,0,1
109,SoCal,2,Conventional Hydroelectric,1,40,34.905,1396.2,2792,46475,0,None,9.118,0,0,0,0.116,0.083,0.083,0,0,0,0,0,1,1,0,0,0,0,1,0,1
128,UT,11,Conventional Hydroelectric,1,3,50.6,151.8,304,46475,0,None,9.118,0,0,0,0,0.083,0.083,0,0,0,0,0,1,1,0,0,0,0,1,0,1
139,WY,10,Conventional Hydroelectric,1,12,19.408,232.896,466,46475,0,None,9.118,0,0,0,0,0.083,0.083,0,0,0,0,0,1,1,0,0,0,0,1,0,1
110,SoCal,2,Conventional Steam Coal,1,1,50,50,0,71832,1.857,pacific_reference_coal,4.642,11.92550264,0,,0.4,0.57,0.57,1,16.5,122.3963045,24,24,1,1,1,0,0,0,0,0,0
41,NM,9,Conventional Steam Coal,1,5,528,7219.002,0,59385.147,1.857,mountain_reference_coal,9.99,20.04534345,1.473,1.028,0.423,1,1,1,16.5,122.3963045,0,0,1,1,1,0,0,0,0,0,0
3,AZ,8,Conventional Steam Coal,1,10,332.9,14050.987,0,57649.513,1.857,mountain_reference_coal,10.647,21.24151379,0.755,0.495,0.428,0.57,0.57,1,16.5,122.3963045,24,24,1,1,1,0,0,0,0,0,0
36,MT,6,Conventional Steam Coal,1,4,406.875,2368.701,0,60337.826,1.857,mountain_reference_coal,11.107,22.07901508,2.595,1.567,0.303,0.57,0.57,1,16.5,122.3963045,24,24,1,1,1,0,0,0,0,0,0
85,PNW,4,Conventional Steam Coal,1,2,670,1340,0,56190.5,1.857,pacific_reference_coal,11.159,26.06088216,0.056,0.08,0.362,0.57,0.57,1,16.5,122.3963045,24,24,1,1,1,0,0,0,0,0,0
28,ID,5,Geothermal,1,149,74.364,74.364,0,206553,0,None,9.118,0,0,,0.041,1,1,0,0,0,0,0,1,1,1,0,1,0,0,1,1
4,AZ,8,Hydroelectric Pumped Storage,1,45,581.933,4548.798,34333,40113,0,None,0,0,0,0,0.601,1,1,0,0,0,0,0,0.866,0.866,0,0,0,1,0,0,0
