Hour_0,biomass_1,conventional_hydroelectric_2,conventional_steam_coal_3,hydroelectric_pumped_storage_4,natural_gas_fired_combined_cycle_5,natural_gas_fired_combined_cycle_6,natural_gas_fired_combustion_turbine_7,natural_gas_fired_combustion_turbine_8,nuclear_9,onshore_wind_turbine_10,small_hydroelectric_11,solar_photovoltaic_12,biomass_13,conventional_hydroelectric_14,conventional_steam_coal_15,hydroelectric_pumped_storage_16,natural_gas_fired_combined_cycle_17,natural_gas_fired_combined_cycle_18,natural_gas_fired_combustion_turbine_19,natural_gas_fired_combustion_turbine_20,natural_gas_steam_turbine_21,natural_gas_steam_turbine_22,onshore_wind_turbine_23,small_hydroelectric_24,solar_photovoltaic_25,biomass_26,conventional_hydroelectric_27,geothermal_28,natural_gas_fired_combined_cycle_29,natural_gas_fired_combustion_turbine_30,onshore_wind_turbine_31,small_hydroelectric_32,solar_photovoltaic_33,biomass_34,conventional_hydroelectric_35,conventional_steam_coal_36,natural_gas_fired_combustion_turbine_37,onshore_wind_turbine_38,small_hydroelectric_39,biomass_40,conventional_steam_coal_41,geothermal_42,natural_gas_fired_combined_cycle_43,natural_gas_fired_combined_cycle_44,natural_gas_fired_combined_cycle_45,natural_gas_fired_combustion_turbine_46,natural_gas_fired_combustion_turbine_47,natural_gas_steam_turbine_48,natural_gas_steam_turbine_49,onshore_wind_turbine_50,small_hydroelectric_51,solar_photovoltaic_52,biomass_53,conventional_hydroelectric_54,conventional_steam_coal_55,geothermal_56,natural_gas_fired_combined_cycle_57,natural_gas_fired_combined_cycle_58,natural_gas_fired_combined_cycle_59,natural_gas_fired_combustion_turbine_60,natural_gas_fired_combustion_turbine_61,natural_gas_steam_turbine_62,onshore_wind_turbine_63,small_hydroelectric_64,solar_photovoltaic_65,biomass_66,conventional_hydroelectric_67,geothermal_68,hydroelectric_pumped_storage_69,natural_gas_fired_combined_cycle_70,natural_gas_fired_combined_cycle_71,natural_gas_fired_combined_cycle_72,natural_gas_fired_combined_cycle_73,natural_gas_fired_combustion_turbine_74,natural_gas_fired_combustion_turbine_75,natural_gas_fired_combustion_turbine_76,natural_gas_fired_combustion_turbine_77,natural_gas_fired_combustion_turbine_78,nuclear_79,onshore_wind_turbine_80,small_hydroelectric_81,solar_photovoltaic_82,biomass_83,conventional_hydroelectric_84,conventional_steam_coal_85,geothermal_86,hydroelectric_pumped_storage_87,natural_gas_fired_combined_cycle_88,natural_gas_fired_combined_cycle_89,natural_gas_fired_combustion_turbine_90,natural_gas_fired_combustion_turbine_91,natural_gas_fired_combustion_turbine_92,nuclear_93,onshore_wind_turbine_94,small_hydroelectric_95,solar_photovoltaic_96,biomass_97,geothermal_98,hydroelectric_pumped_storage_99,natural_gas_fired_combined_cycle_100,natural_gas_fired_combined_cycle_101,natural_gas_fired_combustion_turbine_102,natural_gas_fired_combustion_turbine_103,natural_gas_fired_combustion_turbine_104,onshore_wind_turbine_105,small_hydroelectric_106,solar_photovoltaic_107,biomass_108,conventional_hydroelectric_109,conventional_steam_coal_110,geothermal_111,hydroelectric_pumped_storage_112,natural_gas_fired_combined_cycle_113,natural_gas_fired_combined_cycle_114,natural_gas_fired_combined_cycle_115,natural_gas_fired_combined_cycle_116,natural_gas_fired_combustion_turbine_117,natural_gas_fired_combustion_turbine_118,natural_gas_fired_combustion_turbine_119,natural_gas_fired_combustion_turbine_120,natural_gas_fired_combustion_turbine_121,natural_gas_steam_turbine_122,natural_gas_steam_turbine_123,onshore_wind_turbine_124,small_hydroelectric_125,solar_photovoltaic_126,biomass_127,conventional_hydroelectric_128,conventional_steam_coal_129,geothermal_130,natural_gas_fired_combined_cycle_131,natural_gas_fired_combined_cycle_132,natural_gas_fired_combustion_turbine_133,natural_gas_fired_combustion_turbine_134,natural_gas_fired_combustion_turbine_135,onshore_wind_turbine_136,small_hydroelectric_137,solar_photovoltaic_138,conventional_hydroelectric_139,conventional_steam_coal_140,natural_gas_fired_combined_cycle_141,natural_gas_fired_combustion_turbine_142,natural_gas_fired_combustion_turbine_143,onshore_wind_turbine_144,small_hydroelectric_145
0,1,0.2591,1,1,1,1,1,1,1,0.1325,0.2591,0.2031,1,0.2067,1,1,1,1,1,1,1,1,0.7271,0.2067,0,1,0.3554,1,1,1,0.0326,0.3554,0.1719,1,0.3937,1,1,0.8112,0.3937,1,1,1,1,1,1,1,1,1,1,0.6221,0.2543,0.0097,1,0.4863,1,1,1,1,1,1,1,1,0.132078777,0.4863,0.125297853,1,0.216363938,1,1,1,1,1,1,1,1,1,1,1,1,0.0004,0.216363938,0.2899,1,0.4661,1,1,1,1,1,1,1,1,1,0.0675,0.4661,0.0356,1,1,1,1,1,1,1,1,0.073073954,0.292487553,0.264489687,1,0.097440203,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.009895553,0.097440203,0.291306693,1,0.285,1,1,1,1,1,1,1,0.1236,0.285,0.1,0.1165,1,1,1,1,0.6929,0.1165
1,1,0.2593,1,1,1,1,1,1,1,0.2742,0.2593,0,1,0.2069,1,1,1,1,1,1,1,1,0.4698,0.2069,0,1,0.3556,1,1,1,0.07,0.3556,0,1,0.3932,1,1,0.69,0.3932,1,1,1,1,1,1,1,1,1,1,0.6107,0.2542,0,1,0.4865,1,1,1,1,1,1,1,1,0.403101799,0.4865,0,1,0.216120663,1,1,1,1,1,1,1,1,1,1,1,1,0.0293,0.216120663,0,1,0.4658,1,1,1,1,1,1,1,1,1,0.1413,0.4658,0,1,1,1,1,1,1,1,1,0.113225549,0.292187553,0,1,0.097340203,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.112091845,0.097340203,0,1,0.285,1,1,1,1,1,1,1,0.1254,0.285,0,0.1165,1,1,1,1,0.6584,0.1165
2,1,0.2595,1,1,1,1,1,1,1,0.5171,0.2595,0,1,0.207,1,1,1,1,1,1,1,1,0.5379,0.207,0,1,0.3558,1,1,1,0.1116,0.3558,0,1,0.3927,1,1,0.6934,0.3927,1,1,1,1,1,1,1,1,1,1,0.5907,0.2542,0,1,0.4866,1,1,1,1,1,1,1,1,0.320269424,0.4866,0,1,0.215877389,1,1,1,1,1,1,1,1,1,1,1,1,0.0617,0.215877389,0,1,0.4655,1,1,1,1,1,1,1,1,1,0.1025,0.4655,0,1,1,1,1,1,1,1,1,0.082735942,0.291887553,0,1,0.097296693,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.327139675,0.097296693,0,1,0.2849,1,1,1,1,1,1,1,0.2072,0.2849,0,0.1164,1,1,1,1,0.6785,0.1164
3,1,0.2597,1,1,1,1,1,1,1,0.3361,0.2597,0,1,0.2072,1,1,1,1,1,1,1,1,0.4689,0.2072,0,1,0.3559,1,1,1,0.1961,0.3559,0,1,0.3922,1,1,0.7331,0.3922,1,1,1,1,1,1,1,1,1,1,0.5111,0.2541,0,1,0.4868,1,1,1,1,1,1,1,1,0.235501799,0.4868,0,1,0.215634114,1,1,1,1,1,1,1,1,1,1,1,1,0.0811,0.215634114,0,1,0.4653,1,1,1,1,1,1,1,1,1,0.233,0.4653,0,1,1,1,1,1,1,1,1,0.181824638,0.291548303,0,1,0.097253184,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.542861971,0.097253184,0,1,0.2849,1,1,1,1,1,1,1,0.1895,0.2849,0,0.1164,1,1,1,1,0.7239,0.1164
4,1,0.2599,1,1,1,1,1,1,1,0.3464,0.2599,0,1,0.2073,1,1,1,1,1,1,1,1,0.5991,0.2073,0,1,0.3561,1,1,1,0.2091,0.3561,0,1,0.3917,1,1,0.642,0.3917,1,1,1,1,1,1,1,1,1,1,0.3002,0.2541,0,1,0.4869,1,1,1,1,1,1,1,1,0.288338849,0.4869,0,1,0.215383627,1,1,1,1,1,1,1,1,1,1,1,1,0.0819,0.215383627,0,1,0.465,1,1,1,1,1,1,1,1,1,0.2807,0.465,0,1,1,1,1,1,1,1,1,0.420113458,0.291248303,0,1,0.097209674,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.482406152,0.097209674,0,1,0.2848,1,1,1,1,1,1,1,0.1994,0.2848,0,0.1164,1,1,1,1,0.7286,0.1164
5,1,0.2601,1,1,1,1,1,1,1,0.2863,0.2601,0,1,0.2074,1,1,1,1,1,1,1,1,0.5906,0.2074,0,1,0.3563,1,1,1,0.2059,0.3563,0,1,0.3913,1,1,0.5552,0.3913,1,1,1,1,1,1,1,1,1,1,0.3482,0.2541,0,1,0.487,1,1,1,1,1,1,1,1,0.173986691,0.487,0,1,0.215140353,1,1,1,1,1,1,1,1,1,1,1,1,0.0152,0.215140353,0,1,0.4647,1,1,1,1,1,1,1,1,1,0.3679,0.4647,0,1,1,1,1,1,1,1,1,0.232892381,0.290948303,0,1,0.097109674,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.454284184,0.097109674,0,1,0.2848,1,1,1,1,1,1,1,0.2075,0.2848,0,0.1164,1,1,1,1,0.6635,0.1164
6,1,0.2603,1,1,1,1,1,1,1,0.2663,0.2603,0,1,0.2076,1,1,1,1,1,1,1,1,0.3787,0.2076,0,1,0.3564,1,1,1,0.2139,0.3564,0,1,0.3908,1,1,0.4339,0.3908,1,1,1,1,1,1,1,1,1,1,0.3871,0.254,0,1,0.4872,1,1,1,1,1,1,1,1,0.149714029,0.4872,0,1,0.214897078,1,1,1,1,1,1,1,1,1,1,1,1,0.0066,0.214897078,0,1,0.4645,1,1,1,1,1,1,1,1,1,0.3965,0.4645,0,1,1,1,1,1,1,1,1,0.180398551,0.290648303,0,1,0.097066165,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.616300148,0.097066165,0,1,0.2848,1,1,1,1,1,1,1,0.1972,0.2848,0,0.1164,1,1,1,1,0.6019,0.1164
7,1,0.2606,1,1,1,1,1,1,1,0.416,0.2606,0,1,0.2077,1,1,1,1,1,1,1,1,0.1651,0.2077,0,1,0.3566,1,1,1,0.187,0.3566,0,1,0.3903,1,1,0.3811,0.3903,1,1,1,1,1,1,1,1,1,1,0.4118,0.254,0,1,0.4873,1,1,1,1,1,1,1,1,0.262507194,0.4873,0,1,0.214653804,1,1,1,1,1,1,1,1,1,1,1,1,0.0403,0.214653804,0,1,0.4642,1,1,1,1,1,1,1,1,1,0.3852,0.4642,0,1,1,1,1,1,1,1,1,0.165949524,0.290348303,0,1,0.097022655,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.572021808,0.097022655,0,1,0.2847,1,1,1,1,1,1,1,0.1717,0.2847,0,0.1164,1,1,1,1,0.5502,0.1164
8,1,0.2608,1,1,1,1,1,1,1,0.3343,0.2608,0,1,0.2079,1,1,1,1,1,1,1,1,0.1259,0.2079,0,1,0.3568,1,1,1,0.1951,0.3568,0,1,0.3898,1,1,0.3691,0.3898,1,1,1,1,1,1,1,1,1,1,0.536,0.254,0,1,0.4875,1,1,1,1,1,1,1,1,0.340040288,0.4875,0,1,0.214410529,1,1,1,1,1,1,1,1,1,1,1,1,0.1088,0.214410529,0,1,0.464,1,1,1,1,1,1,1,1,1,0.3221,0.464,0,1,1,1,1,1,1,1,1,0.156377267,0.290009052,0,1,0.096979146,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.521385639,0.096979146,0,1,0.2847,1,1,1,1,1,1,1,0.1409,0.2847,0,0.1164,1,1,1,1,0.5987,0.1164
9,1,0.261,1,1,1,1,1,1,1,0.2315,0.261,0,1,0.208,1,1,1,1,1,1,1,1,0.0862,0.208,0,1,0.3569,1,1,1,0.2016,0.3569,0,1,0.3893,1,1,0.3277,0.3893,1,1,1,1,1,1,1,1,1,1,0.2662,0.2539,0,1,0.4876,1,1,1,1,1,1,1,1,0.320253957,0.4876,0,1,0.214167255,1,1,1,1,1,1,1,1,1,1,1,1,0.059,0.214167255,0,1,0.4637,1,1,1,1,1,1,1,1,1,0.2667,0.4637,0,1,1,1,1,1,1,1,1,0.179756853,0.289709052,0,1,0.096879146,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.635668161,0.096879146,0,1,0.2846,1,1,1,1,1,1,1,0.1155,0.2846,0,0.1164,1,1,1,1,0.6466,0.1164
