R_ID,Zone_name,Zone,Technology,Cluster,Num_units,Cap_size,Existing_Cap_MW,Existing_Cap_MWh,Fixed_OM_cost_per_MWyr,Var_OM_cost_per_MWh,Fuel,Heat_rate_MMBTU_per_MWh,heat_rate_mmbtu_mwh_iqr,heat_rate_mmbtu_mwh_std,Min_power,Ramp_Up_percentage,Ramp_Dn_percentage,Commit,Start_fuel_MMBTU_per_MW,Start_cost_per_MW,Up_time,Down_time,Charge_efficiency,Discharge_efficiency,THERM,VRE,MUSTRUN,STOR,HYDRO,RPS,CES
1,AZ,8,Biomass,1,5,1.954,593,0,116511,6.809,None,15.832,1.579,2.035,0.262,1,1,1,0,0,0,0,1,1,1,0,1,0,0,1,1
2,AZ,8,Conventional Hydroelectric,1,28,98.661,46000,11050,46475,0,None,9.118,0,0,0.004,0.083,0.083,0,0,0,0,0,1,1,0,0,0,0,1,0,1
3,AZ,8,Conventional Steam Coal,1,10,332.9,25000,0,57649.513,1.857,mountain_reference_coal,10.647,0.755,0.495,0.428,0.57,0.57,1,16.5,122.3963045,24,24,1,1,1,0,0,0,0,0,0
28,ID,5,Geothermal,1,1,8.154,1650,0,206553,0,None,9.118,0,,0.041,1,1,0,0,0,0,0,1,1,1,0,1,0,0,1,1
4,AZ,8,Hydroelectric Pumped Storage,1,6,36.05,216.3,34333,40113,0,None,0,0,0,0.601,1,1,0,0,0,0,0,0.866,0.866,0,0,0,1,0,0,0
16,CO,12,Hydroelectric Pumped Storage,1,5,112.5,562.5,89286,40113,0,None,0,0,0,0.267,1,1,0,0,0,0,0,0.866,0.866,0,0,0,1,0,0,0
69,NorCal,1,Hydroelectric Pumped Storage,1,20,89.55,1791,284286,40113,0,None,0,0,0,0.266,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0
87,PNW,4,Hydroelectric Pumped Storage,1,6,52.333,313.998,49841,40113,0,None,0,0,0,0,1,1,0,0,0,0,0,0.866,0.866,0,0,0,1,0,0,0
99,SD_IID,3,Hydroelectric Pumped Storage,1,2,21,42,6667,40113,0,None,0,0,0,0,1,1,0,0,0,0,0,0.866,0.866,0,0,0,1,0,0,0
112,SoCal,2,Hydroelectric Pumped Storage,1,6,270.5,1623,257619,40113,0,None,0,0,0,0.037,1,1,0,0,0,0,0,0.866,0.866,0,0,0,1,0,0,0
